One Number Away,Luke Combs,Country,97,52,41,5,0,0,0,0,0,0,0
We Fight,Dashboard Confessional,Alternative,116,72,37,6,2,0,0,0,0,0,0
Gone Away,Five Finger Death Punch,Rock,50,33,11,5,0,1,0,1,0,0,0
Mine,Bazzi,Pop,145,98,44,2,1,1,0,0,0,0,0
Powerglide,Rae Sremmurd & Juicy J,Hip Hop,325,206,96,20,3,1,0,0,0,0,0
Going Down!,XXXTentacion,Hip Hop,70,56,13,2,0,0,0,0,0,0,0
The Mountain,Three Days Grace,Rock,1509,758,558,143,39,9,3,0,0,0,0
Parallel Line,Keith Urban,Country,66,48,14,4,1,0,0,0,0,0,0
All The Stars,Kendrick Lamar & SZA,Hip Hop,108,65,30,8,4,1,1,0,0,0,0
Want You Back,5 Seconds Of Summer,Pop,253,150,85,14,5,0,0,0,0,0,0
Happy Hour,Weezer,Alternative,86,52,29,6,0,0,0,0,0,0,0
Hide The Wine,Carly Pearce,Country,74,55,15,3,1,1,0,0,0,0,0
Legend,The Score,Rock,69,40,22,7,0,1,0,0,0,0,0
Bad At Love,Halsey,Pop,92,58,29,5,0,1,0,0,0,0,0
King's Dead,Jay Rock,Kendrick Lamar,245,147,80,16,3,0,0,0,0,0,0
Void,The Neighbourhood,Rock,160,80,65,9,7,0,0,0,0,0,0
Walking On Water,NEEDTOBREATHE,Rock,115,66,40,7,2,1,0,0,0,0,0
IDGAF,Dua Lipa,Pop,97,70,22,6,0,0,0,0,0,0,0
New Rules,Dua Lipa,Pop,104,73,28,4,0,0,0,0,0,0,0
Doin' Fine,Lauren Alaina,Country,76,56,16,5,0,0,0,0,0,0,0
Kiss Somebody,Morgan Evans,Country,80,58,22,1,0,0,0,0,0,0,0
The Middle,Zedd,Maren Morris & Grey,66,43,17,5,2,0,0,0,0,0,0
Criminal,Lindsay Ell,Country,379,238,109,22,10,0,1,0,0,0,0
Billy,6ix9ine,Hip Hop,227,106,92,26,1,3,0,0,0,0,0
Bulletproof,Godsmack,Rock,435,270,124,30,7,3,2,0,0,0,0
Yuck,Logic,Hip Hop,212,127,65,14,5,2,0,0,0,0,0
Drunk Girl,Chris Janson,Country,65,46,12,4,2,2,0,0,0,0,0
Right Left Wrong,Three Days Grace,Rock,51,28,19,4,1,0,0,0,0,0,0
Ones That Like Me,Brantley Gilbert,Country,76,55,17,5,0,0,0,0,0,0,0
Tell Me You Love Me,Demi Lovato,Pop,63,41,20,2,1,0,0,0,0,0,0
Feel It Still,Portugal The Man,Rock,80,53,25,3,0,0,0,0,0,0,0
Let You Down,NF,Hip Hop,147,92,43,10,2,1,0,0,0,0,0
Five More Minutes,Scotty McCreery,Country,112,69,40,3,1,0,0,0,0,0,0
Female,Keith Urban,Country,122,96,20,4,3,0,0,0,0,0,0
Whatever It Takes,Imagine Dragons,Alternative,105,56,30,15,2,3,0,0,0,0,0
This Is It,Scotty McCreery,Country,326,177,119,18,11,1,0,1,0,0,0
Favorite Color Is Blue,Robert DeLong + KFlay,Alternative,103,47,50,7,0,0,0,0,0,0,0
Thought Contagion,Muse,Alternative,45,24,15,6,1,0,0,0,0,0,0
Alone,Part 3,XXXTentacion,42,32,11,0,0,0,0,0,0,0,0
Saturday Sun,Vance Joy,Alternative,46,27,15,5,0,0,0,0,0,0,0
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,Country,314,190,105,17,2,1,0,0,0,0,0
She Ain't In It,Jon Pardi,Country,55,37,15,3,1,0,0,0,0,0,0
Everyday,Logic & Marshmello,Hip Hop,263,168,79,13,3,1,0,0,0,0,0
No Excuses,Meghan Trainor,Pop,65,43,21,1,1,0,0,0,0,0,0
River,Eminem Featuring Ed Sheeran,Hip Hop,233,144,69,17,3,1,0,0,0,0,0
Lights Down Low,MAX Featuring gnash,Pop,72,51,18,4,0,0,0,0,0,0,0
Devil,Shinedown,Rock,271,152,100,12,6,2,0,0,0,0,0
Someone To You,BANNERS,Rock,60,39,18,4,0,0,0,0,0,0,0
Warm It Up,Logic Featuring Young Sinatra,Hip Hop,263,146,88,22,5,3,0,0,0,0,0
Three Chords & The Truth,Chase Rice,Country,108,73,30,6,0,0,0,0,0,0,0
Happens Like That,Granger Smith,Country,72,50,19,4,0,0,0,0,0,0,0
Nowadays,Lil Skies Featuring Landon Cube,Hip Hop,148,95,45,6,3,0,0,0,0,0,0
For The Damaged Coda,Blonde Redhead,Rock,0,1,0,0,0,0,0,0,0,0,0
What's Mine Is Yours,Kane Brown,Country,78,51,26,2,0,0,0,0,0,0,0
Merengue,Kent Jones,Pop,72,48,15,9,1,0,0,0,0,0,0
Hurt Somebody,Noah Kahan & Julia Michaels,Rock,61,43,17,2,0,0,0,0,0,0,0
Infinity (888),XXXtentacion Featuring Joey Bada$$,Hip Hop,172,99,63,10,1,0,0,0,0,0,0
Born To Love You,LANCO,Country,67,52,15,1,0,0,0,0,0,0,0
Hooked,Dylan Scott,Country,45,34,7,5,0,0,0,0,0,0,0
